Source,Target
44196397,276540738
44196397,959471389282578432
44196397,17663776
44196397,2292565884
44196397,2993230373
44196397,1179892477714718721
44196397,76980293
44196397,958324785229934593
44196397,1720046887
44196397,2997418453
44196397,14486697
44196397,4914384040
44196397,30699048
44196397,177101260
44196397,1346194631982247943
44196397,1402156691186241538
44196397,3669881952
44196397,1068831
44196397,1359595748942372867
44196397,822825713615175680
44196397,822825713615175680
44196397,1279551125264445448
44196397,16178922
44196397,2445883045
44196397,2235729541
44196397,33836629
44196397,85891683
44196397,23116280
44196397,776585502606721024
44196397,49310901
44196397,1024391197
44196397,1100520274200416256
44196397,3346820638
44196397,410605574
44196397,169686021
44196397,1201427034754318337
44196397,4783690002
44196397,81961201
44196397,4398626122
44196397,175624200
44196397,1526643050
44196397,12
44196397,344538987
44196397,29873662
44196397,18208354
44196397,3167257102
44196397,2444425802
44196397,21292523
44196397,760345658
44196397,2263452746
44196397,2907774137
44196397,2263437272
44196397,3101588527
44196397,905158770107568133
44196397,26572460
44196397,25422302
44196397,446719282
44196397,19725644
44196397,987978757
44196397,150732943
44196397,2361631088
44196397,427089628
44196397,1091459141397180416
44196397,621573
44196397,851773048973807617
44196397,20972371
44196397,22677790
44196397,137857547
44196397,5943622
44196397,3429950987
44196397,7267562
44196397,64488804
44196397,1558996520
44196397,11150432
44196397,14171401
44196397,289476502
44196397,5402612
44196397,255784266
44196397,2436389418
44196397,176774540
44196397,692023
44196397,3511430425
44196397,729468343
44196397,19802879
44196397,1451773004
44196397,859816394556284929
44196397,511402689
44196397,1654188770
44196397,287568380
44196397,23504870
44196397,1582853809
44196397,2329316496
44196397,11348282
44196397,38430500
44196397,209811713
44196397,2251623492
44196397,1282121312
44196397,259771124
44196397,316327930
44196397,17248121
44196397,1182382878
44196397,16689804
44196397,13298072
44196397,34743251
276540738,1320613702375268352
276540738,1545798659786571777
276540738,935016448040116224
276540738,1251899585070587904
276540738,843321219386621952
276540738,1512235909927751680
276540738,1012459575633698816
276540738,1580794161820639233
276540738,1582315136848625667
276540738,1576819583591350274
276540738,1563244158046720000
276540738,1430201422931496967
276540738,701562117040664576
276540738,1582597594244648960
276540738,1558227264462114816
276540738,1276870856099037184
276540738,1422194874078670855
276540738,1568665484463046656
276540738,1395814167425212420
276540738,1432980535501012999
276540738,1582590679422623745
276540738,1511561306268225537
276540738,1503443621864824838
276540738,1470860429236658179
276540738,836478618
276540738,1582580963657359360
276540738,1016294721663258624
276540738,1582580214533693440
276540738,1543826400758611968
276540738,1550332044714168321
276540738,1543068728958525442
276540738,21283753
276540738,886478335286669313
276540738,1430365979314372609
276540738,1556492473303719937
276540738,19310663
276540738,2489080814
276540738,1579868027847335936
276540738,1582566094778564609
276540738,1040767735939170310
276540738,97784086
276540738,1069731654778978304
276540738,1582567645815230467
276540738,737141612749410304
276540738,1575091275182886912
276540738,43561541
276540738,1531259682723094528
276540738,761144238
276540738,1237892224001757184
276540738,1580317860160757763
276540738,1099423623838875649
276540738,1140296980578676737
276540738,1582555004279443457
276540738,23859156
276540738,1517251713593393152
276540738,1582528853800615936
276540738,380687680
276540738,1503924780679970818
276540738,1447068473276964865
276540738,118176041
276540738,1582543259036839936
276540738,1576292463253377030
276540738,1571282612592820226
276540738,1431768733400375298
276540738,1449895246398119940
276540738,1407013721931763717
276540738,818971494
276540738,1516057892608086030
276540738,1563531020053295105
276540738,1490319556551843840
276540738,1385744039329271809
276540738,1582259702830075941
276540738,1580397405773570052
276540738,1422088669846982658
276540738,1154868066821574656
276540738,1473916442584268802
276540738,859246538
276540738,1554723039463473155
276540738,1459156243168251905
276540738,1582519212995760129
276540738,1581858616163934214
276540738,1565552975325679621
276540738,1482655310300938241
276540738,1580901635563425792
276540738,776760175
276540738,1566408708090957825
276540738,1511839189117067267
276540738,1497212244572049408
276540738,3146597974
276540738,4822011582
276540738,145994641
276540738,1578777881114722307
276540738,1208482410729488385
276540738,1582497940219854848
276540738,1461264494013952002
276540738,1582154759414259712
276540738,1022194635471577088
276540738,1495190789202354180
276540738,909215366
276540738,1581360116238094336
276540738,1083552979427373056
276540738,1581709744628273155
276540738,3218535544
276540738,1582493217689407489
276540738,1089063398615191557
276540738,1577348976902291456
276540738,116104504
276540738,1324199930391506945
276540738,721800075018506240
276540738,1581992123632680963
276540738,1008556225603268608
276540738,1582487406082953217
276540738,1576613819614461952
276540738,85687495
276540738,1500515844388012039
276540738,1482150476330192896
276540738,1532977426594250753
276540738,3007286647
276540738,1308516658563092480
276540738,1350588552111943681
276540738,1534206273352351744
276540738,1582476720875048960
276540738,1582472610234916874
276540738,1212627306650320896
276540738,216310202
276540738,1553900604145037312
276540738,1582473348809908230
276540738,542820795
276540738,1514827755099201542
276540738,1582469873254408192
276540738,1567916750582288385
276540738,1286122094355533824
276540738,1518810680304021505
276540738,1423398909670531075
276540738,1375942697580519426
276540738,723399953935036418
276540738,1521981070840893440
276540738,1478000507146825730
276540738,1582376439499964417
276540738,1030235586433560576
276540738,786849631
276540738,1582409896716341250
276540738,1582455464700547072
276540738,782612548105347073
276540738,1582418951744651265
276540738,1155496490023956480
276540738,1281261412657094656
276540738,1576506501350543366
276540738,1582443623571984399
276540738,1582431951629287424
276540738,1565764821869797381
276540738,1307865043279765505
276540738,1580914170702307328
276540738,1027655568872431619
276540738,1426713135566802945
276540738,1207475186657890305
276540738,1582426641980182530
276540738,1574122494935662595
276540738,1578619900360368128
276540738,888372979649970176
276540738,1549667177661440000
276540738,1576187670232981504
276540738,1539738376751939585
276540738,1486586651551965186
276540738,2756843625
276540738,1509355571694256130
276540738,802624658013097985
276540738,1353747420442722304
276540738,1582348343736344582
276540738,997774195219095552
276540738,1556025803456004096
276540738,1500929267265331207
276540738,1582413515431845890
276540738,1104498752717578245
276540738,1080322309343379456
276540738,810087222657552385
276540738,42292833
276540738,1569458110615670785
276540738,766663090448568320
276540738,1357136148213075973
276540738,1221152606652813313
276540738,710573732008488962
276540738,1582415013452587008
276540738,1581077679608053760
276540738,1580734568961019904
276540738,43081138
276540738,1582410903122841600
276540738,1422290270
276540738,962742975930552320
276540738,1403012558181703682
276540738,1582403317480787968
276540738,1200778472077049856
276540738,1043572895585320961
276540738,1579464403921108996
276540738,342873332
276540738,14608335
276540738,1561333228283330562
276540738,2429553444
276540738,1358885956384935943
276540738,1517006116281982976
276540738,1582398561714479104
276540738,1582383661638639619
276540738,1582379206985539586
276540738,1289405508844163073
276540738,1582392854785163271
276540738,1577702711948181505
276540738,1578676999370944512
276540738,1460328772419272705
276540738,1303733795363921927
276540738,1576196575390490624
276540738,1396989072112037892
276540738,1527061475482796032
276540738,1610649234
276540738,1582380442677829634
276540738,1580640938044657664
276540738,1562084812902596608
276540738,1320492878779600904
276540738,1582379817088929792
276540738,1582381670455513088
276540738,1433205260886155264
276540738,919883615038685184
276540738,1538870086013964289
276540738,55562193
276540738,1194041347302395904
276540738,1581957239039881217
276540738,2510937338
276540738,903948966
276540738,1447632491871981568
276540738,896134072010985472
276540738,1582367769483509767
276540738,1480673696733962241
276540738,1275788246899802112
276540738,1581102853753516032
276540738,1581003154283368448
276540738,1422880773170937858
276540738,66812258
276540738,1582347200549593088
276540738,1582355111665623040
276540738,1573824607240560640
276540738,6264502
276540738,1582329448145248256
276540738,1525389383670579201
276540738,1249184768182411266
276540738,846921210122395648
276540738,87245383
276540738,1502600009849651202
276540738,1471855718596845568
276540738,1581873163532701696
276540738,1581991888936407041
276540738,1422239674416963586
276540738,1500271269257826304
276540738,1555154290326519808
276540738,1131314710358384640
276540738,2543119530
276540738,4828114279
276540738,1345196185120890881
276540738,1260000093962412038
276540738,1582307930883465216
276540738,25819139
276540738,1562882419220697089
276540738,1375761529614782465
276540738,1063419506196967425
276540738,1574340544930918400
276540738,828547533580283904
276540738,1581499714331037697
276540738,1582303387378491392
276540738,1336305228904271872
276540738,1567612703929257985
276540738,115372110
276540738,1168816320487538688
276540738,409325358
276540738,1703482422
276540738,1564312437863895040
276540738,1382121191272448004
276540738,1015536035302801410
276540738,1581978658264129537
276540738,1582276862335672321
276540738,1214184869128916993
276540738,1078948360952852481
276540738,982083696273440769
276540738,1555414790415462401
276540738,1464553617550196742
276540738,1546933108871778306
276540738,1430435631201619970
276540738,949169558941851648
276540738,1518930134379626497
276540738,1560522927560605696
276540738,52970506
276540738,1352355160001896448
276540738,1582260148961267712
276540738,1377106695726395394
276540738,537496550
276540738,1321390663594840065
276540738,1582013198315786243
276540738,1582252737177128960
276540738,1473788688366776328
276540738,1582252857084022784
276540738,1574050953103568897
276540738,1462069968258879492
276540738,1236694896565616646
276540738,1516058815304712201
276540738,1581269113284231168
276540738,1351235917843935232
276540738,37123672
276540738,1580616852610301952
276540738,1558724345123438598
276540738,1582178434884706305
276540738,907643433564692481
276540738,1008838296309567488
276540738,1485992302912970769
276540738,1555081103802761216
276540738,1148577141438713856
276540738,1582221933432557569
276540738,1397876537488285698
276540738,456826674
276540738,1252515270737956864
276540738,1418688730127286276
276540738,1545561528585551873
276540738,1059159901639983105
276540738,1542597386912104448
276540738,960775388854145024
276540738,725247319185100800
276540738,1474590932678819844
276540738,1493341621609508868
276540738,1534747035504726016
276540738,1536839380811120641
276540738,1546640377037348864
276540738,822388327
276540738,1330538176121884673
276540738,1530536233767682050
276540738,14688144
276540738,1531071150612172800
276540738,1149862864523599872
276540738,2916813623
276540738,1332266354
276540738,15351416
276540738,392398245
276540738,1526145551179431936
276540738,1582199342986919936
276540738,1127712235202187265
276540738,1582197780168454144
276540738,3149355247
276540738,2666299808
276540738,1022794124284583937
276540738,4338668534
276540738,1480046441754251265
276540738,1511137107720474629
276540738,1519421006770802689
276540738,1264364621802041344
276540738,1493577613775884295
276540738,1207054986481410050
276540738,3424390810
276540738,1573517625073799170
276540738,34336761
276540738,893665623166734336
276540738,1467885462832488449
276540738,2297690292
276540738,1569807909302714371
276540738,782485825674055680
276540738,1560314432542195717
276540738,1579566369963638784
276540738,1461162600608108546
276540738,1301617167276875776
276540738,106176282
276540738,1453500035799388161
276540738,1442696414476312579
276540738,1464943936779210756
276540738,1349919241869393929
276540738,1562036238000996352
276540738,1582066806327545858
276540738,957793947664842752
276540738,2879716570
276540738,1539281482379829249
276540738,2724487925
276540738,1582146421385531392
276540738,1581825035932733441
276540738,1582136359308955665
276540738,1554033547492466690
276540738,1367227470827651072
276540738,20387927
276540738,939002021079760896
276540738,1573661672161640448
276540738,834454025819082752
276540738,1532056616308068352
276540738,1316362612611977216
276540738,1353167072277225472
276540738,1506101435695603714
276540738,1582116701675601920
276540738,25578426
276540738,1485108959975514118
276540738,1570703429554655237
276540738,718546191252852736
276540738,800785625100128261
276540738,1582102270656643072
276540738,1432361122053726213
276540738,1476568885528776711
276540738,1497248503478767619
276540738,1511854735917256707
276540738,2342815215
276540738,1557081520816504840
276540738,1581149474788892672
276540738,64762688
276540738,1581692302401179652
276540738,1582096228556439554
276540738,1499160376751149072
276540738,1581990030356135936
276540738,1582089023534899202
276540738,992353398514159616
276540738,24065667
276540738,1450615327176466434
276540738,1582086131172114469
276540738,2764979176
276540738,1414129728
276540738,1223257882197659648
276540738,1556991032188968960
276540738,2855216319
276540738,1375670744982548480
276540738,3035645098
276540738,1268649291200987142
276540738,1582073218046873601
276540738,1581859325189890048
276540738,1570172612697006080
276540738,1579851235821342720
276540738,1357379045185310720
276540738,1009575420465958914
276540738,1578038661140348929
276540738,1558150653234630658
276540738,402392020
276540738,1581427098639638528
276540738,1314295583167844353
276540738,1581986558298693633
276540738,1574927523884175360
276540738,1559354500539899904
276540738,1556541394767867904
276540738,1212984849868283904
276540738,1582059836719652865
276540738,1510010880481800193
276540738,1362240951402569733
276540738,1582052306308149253
276540738,1374949342973411330
276540738,1374791820228620301
276540738,1581545169484410880
276540738,1241455120576999424
276540738,1455021226909310977
276540738,1359808238624133120
276540738,1477333872073396231
276540738,1118214189871435777
276540738,1519084792540717057
276540738,793196702844858368
276540738,3419990920
276540738,1518890986025459712
276540738,1244710468834467852
276540738,1547286264596029440
276540738,3311548594
276540738,1330907364652851217
276540738,1424821329191112713
276540738,715207652356259840
276540738,1607707249
276540738,188688198
276540738,1243982094218473472
276540738,1581747928527405064
276540738,1540465352475385857
276540738,1581674470166724608
276540738,1248634007841132550
276540738,1558073265339465728
276540738,1538873194404265984
276540738,1310212774606364676
276540738,1582026184963117062
276540738,1581782418545057792
276540738,1582025181425442818
276540738,1045215921638232065
276540738,86999034
276540738,1581895685296758784
276540738,1333558353268789254
276540738,1572841626958970881
276540738,1582017614221656066
276540738,1268190558
276540738,1581952785230209024
276540738,1582014501087477761
276540738,1467890672271339521
276540738,1552729040796147714
276540738,1561862828461473792
276540738,1422454675349991424
276540738,1468552267389607945
276540738,1565742049101352960
276540738,1508158486785540110
276540738,1552662540173574144
276540738,1582004972048289794
276540738,1486637627596025861
276540738,1240461096462569473
276540738,1578739945992339462
276540738,1415451287932444675
276540738,3333474951
276540738,756246166778486784
276540738,1580297939653513216
276540738,107466612
276540738,748940388484911104
276540738,800687547370196992
276540738,1581873704442675201
276540738,904413822231957504
276540738,777515244394389504
276540738,1062558288200458240
276540738,1474156648952483843
276540738,3405254265
276540738,740500149474975745
276540738,743463611041996804
276540738,1522473535590961153
276540738,804795130670706688
276540738,4905911589
276540738,714588722885484544
276540738,772522756726546432
276540738,758898756490137602
276540738,4877593803
276540738,20050748
